sample_id,timestamp,fix_id,duration,fix_x,fix_Y,pt_x,pt_y
241,1529085907647961,2,1257072,903.678109691167,472.8834926517208,904.4908457397833,467.08858959109057
242,1529085907656078,2,1257072,903.678109691167,472.8834926517208,909.1317680654174,466.0765688746469
243,1529085907664583,2,1257072,903.678109691167,472.8834926517208,906.9903515855549,467.49203393410426
244,1529085907672828,2,1257072,903.678109691167,472.8834926517208,909.340728524985,468.65286975493655
245,1529085907681207,2,1257072,903.678109691167,472.8834926517208,910.3025509757572,469.866560427472
246,1529085907689451,2,1257072,903.678109691167,472.8834926517208,908.964531665697,467.57466841104906
247,1529085907697955,2,1257072,903.678109691167,472.8834926517208,907.3784442168835,468.07159436668735
248,1529085907706073,2,1257072,903.678109691167,472.8834926517208,907.0934800048417,467.0300926407799
249,1529085907714578,2,1257072,903.678109691167,472.8834926517208,899.9957005422038,468.879232470179
250,1529085907722695,2,1257072,903.678109691167,472.8834926517208,899.801326127199,468.83096700778697
251,1529085907731208,2,1257072,903.678109691167,472.8834926517208,903.7605726343463,464.79264402540866
252,1529085907739320,2,1257072,903.678109691167,472.8834926517208,901.3694452993514,470.2280812850222
253,1529085907747827,-1,-1,0,0,924.2700306286861,449.2067029455211
254,1529085907756068,-1,-1,0,0,948.7700014858274,379.87708114250563
255,1529085907764450,-1,-1,0,0,952.4441507559095,296.1865745872492
256,1529085907772690,-1,-1,0,0,957.4606084472907,232.50591317249928
257,1529085907781204,3,283091,969.7638755818278,215.04211289204,962.9662398266373,212.74833696102723
258,1529085907789507,3,283091,969.7638755818278,215.04211289204,-1280,-1024
259,1529085907797840,3,283091,969.7638755818278,215.04211289204,-1280,-1024
260,1529085907806059,3,283091,969.7638755818278,215.04211289204,971.387837841321,209.96722659899388
261,1529085907814441,3,283091,969.7638755818278,215.04211289204,972.0294766730512,209.2724696038058
262,1529085907822682,3,283091,969.7638755818278,215.04211289204,966.3249107034062,203.55515564326197
263,1529085907831065,3,283091,969.7638755818278,215.04211289204,971.924612459843,217.387679225998
264,1529085907839303,3,283091,969.7638755818278,215.04211289204,970.4052367554686,211.95856068679132
265,1529085907847687,3,283091,969.7638755818278,215.04211289204,967.8056177007966,213.07332610955928
266,1529085907855929,3,283091,969.7638755818278,215.04211289204,970.1180476433365,209.59845675097313
267,1529085907864435,3,283091,969.7638755818278,215.04211289204,968.3930013736244,208.1131854755804
268,1529085907872569,3,283091,969.7638755818278,215.04211289204,970.0984290591441,211.09454000880942
269,1529085907881057,3,283091,969.7638755818278,215.04211289204,968.7318809599674,217.12000305682886
270,1529085907889298,3,283091,969.7638755818278,215.04211289204,964.8739283706527,218.04642477771267
271,1529085907897682,3,283091,969.7638755818278,215.04211289204,969.1548100985528,212.69771769305225
272,1529085907905920,3,283091,969.7638755818278,215.04211289204,969.9591400503414,214.80801591312047
273,1529085907914318,3,283091,969.7638755818278,215.04211289204,969.6447737322887,216.95609796710778
274,1529085907922553,3,283091,969.7638755818278,215.04211289204,971.7293319050805,215.62843712081667
275,1529085907931049,3,283091,969.7638755818278,215.04211289204,969.5342016044015,215.74116052722093
276,1529085907939169,3,283091,969.7638755818278,215.04211289204,969.6304219585727,215.81107799045276
277,1529085907947675,3,283091,969.7638755818278,215.04211289204,965.7898823363939,215.3536782306619
278,1529085907955916,3,283091,969.7638755818278,215.04211289204,974.7269944076834,209.65182285394985
279,1529085907964309,3,283091,969.7638755818278,215.04211289204,972.6539484802925,213.2656908222707
280,1529085907972605,3,283091,969.7638755818278,215.04211289204,-1280,-1024
281,1529085907980938,3,283091,969.7638755818278,215.04211289204,-1280,-1024
282,1529085907989294,3,283091,969.7638755818278,215.04211289204,-1280,-1024
283,1529085907997627,3,283091,969.7638755818278,215.04211289204,-1280,-1024
284,1529085908005779,3,283091,969.7638755818278,215.04211289204,970.3748006363458,219.84142857871484
285,1529085908014413,3,283091,969.7638755818278,215.04211289204,973.0197859149484,216.78000825759955
286,1529085908022535,3,283091,969.7638755818278,215.04211289204,969.8945636519056,218.04097834322602
287,1529085908031034,3,283091,969.7638755818278,215.04211289204,971.7983983689919,220.86448274145368
288,1529085908039151,3,283091,969.7638755818278,215.04211289204,972.0358709202264,223.20208235748578
289,1529085908047657,3,283091,969.7638755818278,215.04211289204,969.0724599419627,224.53593795665074
290,1529085908055776,3,283091,969.7638755818278,215.04211289204,968.1943886078079,221.0714821626898
291,1529085908064295,3,283091,969.7638755818278,215.04211289204,970.8793998899637,220.03580945334397
292,1529085908072523,-1,-1,0,0,994.9000541842543,212.86612233240157
293,1529085908080903,4,149974,1009.5336064276528,203.82243612877363,1017.3464041852276,200.86356698558666
294,1529085908089146,4,149974,1009.5336064276528,203.82243612877363,1018.8783811572648,198.6272685462609
295,1529085908097651,4,149974,1009.5336064276528,203.82243612877363,1012.891756384779,203.27374990668613
296,1529085908105768,4,149974,1009.5336064276528,203.82243612877363,1010.8507542453299,205.55158208718058
297,1529085908114289,4,149974,1009.5336064276528,203.82243612877363,1009.6983181929681,208.50064127077349
298,1529085908122519,4,149974,1009.5336064276528,203.82243612877363,1007.9646269054501,206.64601261913776
299,1529085908130896,4,149974,1009.5336064276528,203.82243612877363,1014.3522892121109,205.5437637041323
